Classifier,Sensitivity,Specificity,Balanced Accuracy,Accuracy,Precision,F1-score,MCC,AUC,auPR
SVM,0.858,0.689,0.773,0.773,0.736,0.791,0.557,0.831,0.804
XGB,0.797,0.707,0.752,0.752,0.730,0.761,0.509,0.807,0.779
ET,0.799,0.687,0.743,0.743,0.719,0.754,0.494,0.797,0.763
MLP,0.775,0.739,0.757,0.757,0.752,0.762,0.516,0.818,0.790
PLS,0.798,0.646,0.722,0.722,0.689,0.737,0.455,0.773,0.743
LR,0.708,0.731,0.719,0.719,0.725,0.716,0.440,0.774,0.752
NB,0.824,0.615,0.720,0.720,0.684,0.746,0.452,0.757,0.700
RF,0.799,0.685,0.742,0.742,0.717,0.754,0.491,0.801,0.770
DT,0.634,0.676,0.655,0.655,0.665,0.647,0.312,0.659,0.617
KNN,0.772,0.710,0.741,0.741,0.730,0.747,0.488,0.795,0.747
