"n_neighbors, weights, algorithm, leaf_size, p",Sensitivity,Specificity,Balanced_acc,Accuracy,Precision,F1-score,MCC,AUC,auPR
"'n_neighbors':5, 'weights':uniform, 'algorithm':auto, 'leaf_size': 20, 'p': 1",0.735,0.749,0.742,0.742,0.746,0.740,0.484,0.818,0.778
"'n_neighbors':5, 'weights':uniform, 'algorithm':auto, 'leaf_size': 20, 'p': 2",0.725,0.736,0.730,0.730,0.733,0.729,0.461,0.802,0.759
"'n_neighbors':5, 'weights':uniform, 'algorithm':auto, 'leaf_size': 30, 'p': 1",0.735,0.749,0.742,0.742,0.746,0.740,0.484,0.818,0.778
"'n_neighbors':5, 'weights':uniform, 'algorithm':auto, 'leaf_size': 30, 'p': 2",0.725,0.736,0.730,0.730,0.733,0.729,0.461,0.802,0.759
"'n_neighbors':5, 'weights':uniform, 'algorithm':auto, 'leaf_size': 50, 'p': 1",0.735,0.749,0.742,0.742,0.746,0.740,0.484,0.818,0.778
"'n_neighbors':5, 'weights':uniform, 'algorithm':auto, 'leaf_size': 50, 'p': 2",0.725,0.736,0.730,0.730,0.733,0.729,0.461,0.802,0.759
"'n_neighbors':5, 'weights':uniform, 'algorithm':ball_tree, 'leaf_size': 20, 'p': 1",0.735,0.749,0.742,0.742,0.746,0.740,0.484,0.818,0.778
"'n_neighbors':5, 'weights':uniform, 'algorithm':ball_tree, 'leaf_size': 20, 'p': 2",0.725,0.736,0.730,0.730,0.733,0.729,0.461,0.802,0.759
"'n_neighbors':5, 'weights':uniform, 'algorithm':ball_tree, 'leaf_size': 30, 'p': 1",0.735,0.749,0.742,0.742,0.746,0.740,0.484,0.818,0.778
"'n_neighbors':5, 'weights':uniform, 'algorithm':ball_tree, 'leaf_size': 30, 'p': 2",0.725,0.736,0.730,0.730,0.733,0.729,0.461,0.802,0.759
"'n_neighbors':5, 'weights':uniform, 'algorithm':ball_tree, 'leaf_size': 50, 'p': 1",0.735,0.749,0.742,0.742,0.746,0.740,0.484,0.818,0.778
"'n_neighbors':5, 'weights':uniform, 'algorithm':ball_tree, 'leaf_size': 50, 'p': 2",0.725,0.736,0.730,0.730,0.733,0.729,0.461,0.802,0.759
"'n_neighbors':5, 'weights':uniform, 'algorithm':kd_tree, 'leaf_size': 20, 'p': 1",0.735,0.749,0.742,0.742,0.746,0.740,0.484,0.818,0.778
"'n_neighbors':5, 'weights':uniform, 'algorithm':kd_tree, 'leaf_size': 20, 'p': 2",0.725,0.736,0.730,0.730,0.733,0.729,0.461,0.802,0.759
"'n_neighbors':5, 'weights':uniform, 'algorithm':kd_tree, 'leaf_size': 30, 'p': 1",0.735,0.749,0.742,0.742,0.746,0.740,0.484,0.818,0.778
"'n_neighbors':5, 'weights':uniform, 'algorithm':kd_tree, 'leaf_size': 30, 'p': 2",0.725,0.736,0.730,0.730,0.733,0.729,0.461,0.802,0.759
"'n_neighbors':5, 'weights':uniform, 'algorithm':kd_tree, 'leaf_size': 50, 'p': 1",0.735,0.749,0.742,0.742,0.746,0.740,0.484,0.818,0.778
"'n_neighbors':5, 'weights':uniform, 'algorithm':kd_tree, 'leaf_size': 50, 'p': 2",0.725,0.736,0.730,0.730,0.733,0.729,0.461,0.802,0.759
"'n_neighbors':5, 'weights':distance, 'algorithm':auto, 'leaf_size': 20, 'p': 1",0.727,0.754,0.740,0.740,0.747,0.737,0.481,0.828,0.810
"'n_neighbors':5, 'weights':distance, 'algorithm':auto, 'leaf_size': 20, 'p': 2",0.718,0.739,0.729,0.729,0.734,0.726,0.457,0.810,0.790
"'n_neighbors':5, 'weights':distance, 'algorithm':auto, 'leaf_size': 30, 'p': 1",0.727,0.754,0.740,0.740,0.747,0.737,0.481,0.828,0.810
"'n_neighbors':5, 'weights':distance, 'algorithm':auto, 'leaf_size': 30, 'p': 2",0.718,0.739,0.729,0.729,0.734,0.726,0.457,0.810,0.790
"'n_neighbors':5, 'weights':distance, 'algorithm':auto, 'leaf_size': 50, 'p': 1",0.727,0.754,0.740,0.740,0.747,0.737,0.481,0.828,0.810
