"C, kernel, gamma, degree",Sensitivity,Specificity,Balanced_acc,Accuracy,Precision,F1-score,MCC,AUC,auPR
"'C':0.01, 'kernel':linear, 'gamma':scale, 'degree': 3",0.739,0.738,0.739,0.739,0.739,0.739,0.477,0.819,0.801
"'C':0.01, 'kernel':linear, 'gamma':scale, 'degree': 5",0.739,0.738,0.739,0.739,0.739,0.739,0.477,0.819,0.801
"'C':0.01, 'kernel':linear, 'gamma':auto, 'degree': 3",0.739,0.738,0.739,0.739,0.739,0.739,0.477,0.819,0.801
"'C':0.01, 'kernel':linear, 'gamma':auto, 'degree': 5",0.739,0.738,0.739,0.739,0.739,0.739,0.477,0.819,0.801
"'C':0.01, 'kernel':poly, 'gamma':scale, 'degree': 3",0.992,0.123,0.557,0.557,0.533,0.692,0.225,0.761,0.711
"'C':0.01, 'kernel':poly, 'gamma':scale, 'degree': 5",1.000,0.011,0.505,0.505,0.503,0.669,0.072,0.677,0.650
"'C':0.01, 'kernel':poly, 'gamma':auto, 'degree': 3",0.992,0.123,0.557,0.557,0.533,0.692,0.224,0.761,0.711
"'C':0.01, 'kernel':poly, 'gamma':auto, 'degree': 5",1.000,0.010,0.505,0.505,0.503,0.669,0.070,0.627,0.610
"'C':0.01, 'kernel':rbf, 'gamma':scale, 'degree': 3",0.708,0.594,0.651,0.651,0.636,0.670,0.304,0.713,0.678
"'C':0.01, 'kernel':rbf, 'gamma':scale, 'degree': 5",0.708,0.594,0.651,0.651,0.636,0.670,0.304,0.713,0.678
"'C':0.01, 'kernel':rbf, 'gamma':auto, 'degree': 3",0.707,0.594,0.650,0.650,0.635,0.669,0.303,0.713,0.678
"'C':0.01, 'kernel':rbf, 'gamma':auto, 'degree': 5",0.707,0.594,0.650,0.650,0.635,0.669,0.303,0.713,0.678
"'C':0.01, 'kernel':sigmoid, 'gamma':scale, 'degree': 3",0.778,0.590,0.684,0.684,0.655,0.711,0.375,0.751,0.705
"'C':0.01, 'kernel':sigmoid, 'gamma':scale, 'degree': 5",0.778,0.590,0.684,0.684,0.655,0.711,0.375,0.751,0.705
