"eta, max_depth, subsample, colsample_bytree, gamma, alpha, lambda",Sensitivity,Specificity,Balanced_acc,Accuracy,Precision,F1-score,MCC,AUC,auPR
"'eta':0.001, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0, 'lambda': 0",0.826,0.671,0.748,0.748,0.715,0.766,0.503,0.823,0.800
"'eta':0.001, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0, 'lambda': 0.5",0.825,0.670,0.748,0.748,0.714,0.766,0.501,0.823,0.799
"'eta':0.001, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0.1, 'lambda': 0",0.823,0.670,0.746,0.746,0.714,0.764,0.499,0.824,0.800
"'eta':0.001, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0.1, 'lambda': 0.5",0.823,0.668,0.745,0.745,0.713,0.764,0.497,0.823,0.799
"'eta':0.001, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0, 'lambda': 0",0.825,0.671,0.748,0.748,0.715,0.766,0.502,0.823,0.800
"'eta':0.001, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0, 'lambda': 0.5",0.825,0.669,0.747,0.747,0.714,0.765,0.501,0.823,0.799
"'eta':0.001, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0.1, 'lambda': 0",0.823,0.670,0.747,0.747,0.714,0.765,0.500,0.823,0.800
"'eta':0.001, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0.1, 'lambda': 0.5",0.823,0.669,0.746,0.746,0.713,0.764,0.498,0.823,0.799
"'eta':0.001, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0, 'lambda': 0",0.818,0.677,0.747,0.747,0.717,0.764,0.500,0.822,0.800
"'eta':0.001, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0, 'lambda': 0.5",0.818,0.677,0.748,0.748,0.717,0.764,0.501,0.822,0.801
"'eta':0.001, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0.1, 'lambda': 0",0.819,0.676,0.748,0.748,0.717,0.764,0.501,0.822,0.801
"'eta':0.001, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0.1, 'lambda': 0.5",0.816,0.677,0.746,0.746,0.716,0.763,0.498,0.822,0.801
"'eta':0.001, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0, 'lambda': 0",0.818,0.677,0.747,0.747,0.717,0.764,0.500,0.822,0.800
"'eta':0.001, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0, 'lambda': 0.5",0.817,0.677,0.747,0.747,0.716,0.764,0.499,0.822,0.801
