"C, kernel, gamma, degree",Sensitivity,Specificity,Balanced_acc,Accuracy,Precision,F1-score,MCC,AUC,auPR
"'C':0.01, 'kernel':linear, 'gamma':scale, 'degree': 3",0.737,0.749,0.743,0.743,0.747,0.742,0.487,0.821,0.790
"'C':0.01, 'kernel':linear, 'gamma':scale, 'degree': 5",0.737,0.749,0.743,0.743,0.747,0.742,0.487,0.821,0.790
"'C':0.01, 'kernel':linear, 'gamma':auto, 'degree': 3",0.737,0.749,0.743,0.743,0.747,0.742,0.487,0.821,0.790
"'C':0.01, 'kernel':linear, 'gamma':auto, 'degree': 5",0.737,0.749,0.743,0.743,0.747,0.742,0.487,0.821,0.790
"'C':0.01, 'kernel':poly, 'gamma':scale, 'degree': 3",0.812,0.223,0.517,0.517,0.552,0.561,0.117,0.657,0.628
"'C':0.01, 'kernel':poly, 'gamma':scale, 'degree': 5",1.000,0.004,0.502,0.502,0.501,0.668,0.035,0.500,0.500
"'C':0.01, 'kernel':poly, 'gamma':auto, 'degree': 3",0.810,0.223,0.517,0.517,0.550,0.559,0.115,0.657,0.628
"'C':0.01, 'kernel':poly, 'gamma':auto, 'degree': 5",1.000,0.004,0.502,0.502,0.501,0.668,0.035,0.500,0.500
"'C':0.01, 'kernel':rbf, 'gamma':scale, 'degree': 3",0.772,0.633,0.702,0.702,0.679,0.720,0.413,0.769,0.727
"'C':0.01, 'kernel':rbf, 'gamma':scale, 'degree': 5",0.772,0.633,0.702,0.702,0.679,0.720,0.413,0.769,0.727
"'C':0.01, 'kernel':rbf, 'gamma':auto, 'degree': 3",0.772,0.632,0.702,0.702,0.679,0.720,0.413,0.769,0.727
"'C':0.01, 'kernel':rbf, 'gamma':auto, 'degree': 5",0.772,0.632,0.702,0.702,0.679,0.720,0.413,0.769,0.727
"'C':0.01, 'kernel':sigmoid, 'gamma':scale, 'degree': 3",0.874,0.633,0.754,0.754,0.705,0.780,0.523,0.816,0.768
"'C':0.01, 'kernel':sigmoid, 'gamma':scale, 'degree': 5",0.874,0.633,0.754,0.754,0.705,0.780,0.523,0.816,0.768
"'C':0.01, 'kernel':sigmoid, 'gamma':auto, 'degree': 3",0.874,0.633,0.754,0.754,0.705,0.780,0.523,0.816,0.768
"'C':0.01, 'kernel':sigmoid, 'gamma':auto, 'degree': 5",0.874,0.633,0.754,0.754,0.705,0.780,0.523,0.816,0.768
"'C':0.1, 'kernel':linear, 'gamma':scale, 'degree': 3",0.699,0.718,0.708,0.708,0.713,0.706,0.417,0.785,0.755
"'C':0.1, 'kernel':linear, 'gamma':scale, 'degree': 5",0.699,0.718,0.708,0.708,0.713,0.706,0.417,0.785,0.755
"'C':0.1, 'kernel':linear, 'gamma':auto, 'degree': 3",0.699,0.718,0.708,0.708,0.713,0.706,0.417,0.785,0.755
"'C':0.1, 'kernel':linear, 'gamma':auto, 'degree': 5",0.699,0.718,0.708,0.708,0.713,0.706,0.417,0.785,0.755
"'C':0.1, 'kernel':poly, 'gamma':scale, 'degree': 3",0.947,0.525,0.736,0.736,0.666,0.782,0.521,0.821,0.774
"'C':0.1, 'kernel':poly, 'gamma':scale, 'degree': 5",0.996,0.104,0.550,0.550,0.526,0.689,0.218,0.815,0.762
"'C':0.1, 'kernel':poly, 'gamma':auto, 'degree': 3",0.947,0.524,0.736,0.736,0.666,0.782,0.520,0.821,0.774
"'C':0.1, 'kernel':poly, 'gamma':auto, 'degree': 5",0.995,0.102,0.549,0.549,0.526,0.688,0.215,0.815,0.763
